"time{s}","J2\p.f","J1\p.e_in"
0,0,1
0.00015625,0.000156225589751601,0.999843774410248
0.0003125,0.000312426773068965,0.999687573226931
0.000625,0.000624731544461321,0.999375268455539
0.00125,0.0012489509501175,0.998751049049883
0.0025,0.00249583116116604,0.997504168838834
0.005,0.00498337272934268,0.995016627270657
0.0075,0.00746471095193913,0.992535289048061
0.01,0.00993986129866882,0.990060138701331
0.015,0.0148756872628783,0.985124312737122
0.02,0.0197888861502982,0.980211113849702
0.025,0.0246779442810994,0.975322055718901
0.035,0.0343828112124236,0.965617188787576
0.055,0.0535052083136919,0.946494791686308
0.075,0.0722493493560342,0.927750650643966
0.095,0.0906224306284358,0.909377569371564
0.115,0.108631701696615,0.891368298303385
0.155,0.143584869703406,0.856415130296594
0.195,0.177164490145666,0.822835509854334
0.235,0.209427040091323,0.790572959908677
0.288522160073203,0.250625937113524,0.749374062886476
0.342044320146405,0.289676895420289,0.710323104579711
0.395566480219608,0.326692602384513,0.673307397615487
0.44908864029281,0.361778970184224,0.638221029815776
0.502610800366013,0.395036983528391,0.604963016471609
0.556132960439215,0.426563283808492,0.573436716191508
0.66317728058562,0.484774144567018,0.515225855432982
0.75930464803115,0.531995855242364,0.468004144757636
0.855432015476681,0.574890005354144,0.425109994645856
0.951559382922211,0.613853027187659,0.386146972812341
1.04768675036774,0.649245034366066,0.350754965633934
1.14381411781327,0.681393250962251,0.318606749037749
1.2399414852588,0.710594949138367,0.289405050861633
1.43219622014986,0.761213248045974,0.238786751954026
1.62445095504092,0.802976217297327,0.197023782702673
1.81670568993198,0.837436575720563,0.162563424279437
2.00896042482304,0.86587561435983,0.13412438564017
2.2012151597141,0.889343009330193,0.110656990669807
2.39346989460516,0.908700042508664,0.0912999574913363
2.58572462949623,0.924665102585597,0.0753348974144035
2.77797936438729,0.937842300983799,0.0621576990162006
2.97023409927835,0.948720403272926,0.0512795967270739
3.16248883416941,0.957689131717977,0.042310868282023
3.35474356906047,0.965077003187537,0.0349229968124631
3.54699830395153,0.971176938041711,0.0288230619582891
3.73925303884259,0.976222815211715,0.0237771847882851
3.93150777373365,0.980384241768182,0.019615758231818
4.12376250862471,0.983808294784951,0.0161917052150493
4.31601724351577,0.986633479867931,0.0133665201320691
4.50827197840683,0.988969439000999,0.0110305609990008
4.70052671329789,0.99090007342817,0.0090999265718299
4.89278144818895,0.992493314555546,0.00750668544445399
5.08503618308001,0.9938069869097,0.00619301309029996
5.27729091797107,0.994890291714235,0.00510970828576462
5.66180038775319,0.996522636948055,0.0034773630519449
6.04630985753531,0.997636900326871,0.0023630996731292
6.43081932731743,0.998396744496208,0.00160325550379203
6.81532879709956,0.998912904829184,0.00108709517081584
7.19983826688168,0.999262484234905,0.00073751576509451
7.5843477366638,0.999499288758123,0.000500711241876894
7.96885720644592,0.999659587753526,0.000340412246473742
8.35336667622804,0.999768107008515,0.000231892991485072
9.12238561579228,0.999888272650561,0.000111727349438873
9.80284550831265,0.99994177275936,5.82272406400852e-05
10,0.999953091670995,4.69083290050021e-05
